symbol,trades,tp,sl,eod,winrate,pnl_total,pnl_mean,pnl_std
EURCHF,5,5,0,0,1.0,1000.0000000000009,200.00000000000017,0.0
GBPCAD,5,3,2,0,0.6,400.00000000002257,80.00000000000452,164.3167672515439
GBPJPY,2,2,0,0,1.0,399.99999999997726,199.99999999998863,0.0
CADJPY,7,3,4,0,0.42857142857142855,200.00000000003126,28.57142857143304,160.35674514745313
EURCAD,4,2,2,0,0.5,200.0000000000224,50.0000000000056,173.20508075688147
EURGBP,4,2,2,0,0.5,200.00000000000014,50.000000000000036,173.20508075688787
GBPAUD,4,2,2,0,0.5,199.99999999997794,49.999999999994486,173.20508075686863
NZDJPY,5,2,3,0,0.4,100.00000000002274,20.000000000004547,164.31676725154827
AUDJPY,2,1,1,0,0.5,100.00000000000853,50.00000000000426,212.13203435596225
AUDCAD,2,1,1,0,0.5,100.00000000000009,50.00000000000004,212.1320343559644
GBPNZD,5,2,3,0,0.4,99.99999999998897,19.999999999997794,164.31676725153173
EURUSD,3,1,2,0,0.3333333333333333,2.2225776774575934e-11,7.408592258191978e-12,173.20508075688147
USDCHF,6,2,4,0,0.3333333333333333,0.0,0.0,154.9193338482968
USDJPY,3,1,2,0,0.3333333333333333,0.0,0.0,173.2050807568779
CADCHF,0,0,0,0,0.0,0.0,0.0,0.0
GBPCHF,4,1,3,0,0.25,-99.99999999996675,-24.999999999991687,149.99999999999457
EURJPY,1,0,1,0,0.0,-99.99999999999432,-99.99999999999432,
AUDUSD,4,1,3,0,0.25,-100.00000000000006,-25.000000000000014,150.00000000000014
EURAUD,8,2,6,0,0.25,-199.9999999999335,-24.999999999991687,138.8730149658777
USDCAD,5,1,4,0,0.2,-199.99999999995572,-39.99999999999115,134.1640786499825
AUDNZD,2,0,2,0,0.0,-199.99999999997794,-99.99999999998897,0.0
GBPUSD,2,0,2,0,0.0,-199.99999999997794,-99.99999999998897,0.0
NZDCHF,2,0,2,0,0.0,-200.00000000000017,-100.00000000000009,0.0
NZDUSD,3,0,3,0,0.0,-300.0000000000002,-100.00000000000007,1.7404671430534633e-14
AUDCHF,4,0,4,0,0.0,-400.00000000000034,-100.00000000000009,0.0
NZDCAD,5,0,5,0,0.0,-500.00000000000045,-100.00000000000009,0.0
EURNZD,6,0,6,0,0.0,-599.9999999999338,-99.99999999998897,0.0
CHFJPY,7,0,7,0,0.0,-699.9999999999602,-99.99999999999432,0.0
